County,Office,Candidate,Party,District,Votes
,School Board Member,Jeremiah Patrick,Non Partisan,"DAVIS, OREGON 01, OREGON 02, OREGON 03",872
,School Board Member,Jeremiah W Tomlin,Non Partisan,Norwell,2399
,School Board Member,Jeremy C Touchet,Non Partisan,Clay Community,490
,School Board Member,Jeremy G Williams,Non Partisan,3,1171
,School Board Member,Jeremy Gilbert,Non Partisan,North Lawrence Community Schools,8853
,School Board Member,Jeremy P Raver,Non Partisan,Batesville Community School Corporation,4394
,School Board Member,JERMIAH JOHNSON,Non Partisan,SMITH-GREEN,2337
,School Board Member,Jerry Braun,Non Partisan,SHOALS,602
,School Board Member,Jerry E Smith,Non Partisan,MSD Martinsville,5477
,School Board Member,Jerry Hawkins,Non Partisan,SOUTH VERMILLION,3634
,School Board Member,Jerry L Hanger Jr.,Non Partisan,Crawford County,1639
,School Board Member,Jerry Lysko,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",493
,School Board Member,Jess Harper Cain,Non Partisan,N. MONTGOMERY SCHOOL CORP,4092
,School Board Member,JESSE GOMEZ,Non Partisan,East Chicago,2544
,School Board Member,Jessica V Brennan,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,1905
,School Board Member,Jessyca (Domer) Castle,Non Partisan,Westview,977
,School Board Member,Jill Colclasure,Non Partisan,"NA SCHOOL BOARD DIST 1, NA SCHOOL BOARD DIST 2",3516
,School Board Member,Jill Duttlinger,Non Partisan,"1 KEENER, 2 KANKAKEE, 3 WHEATFIELD, 4 WALKER, 5 NORTH UNION",6182
,School Board Member,Jill E. Western,Non Partisan,WHITLEY COUNTY,4758
,School Board Member,Jill Smith,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,3942
,School Board Member,Jim Arnold,Non Partisan,LAPORTE COMMUNITY SCHOOL CORPORATION,8870
,School Board Member,JIM GARRETT,Non Partisan,PENN-HARRIS-MADISON,6731
,School Board Member,Jim Westerman,Non Partisan,JAC-CEN-DEL,540
,School Board Member,Jimmie Dale Durnil,Non Partisan,Richland-Bean Blossom Comm School Corp,5262
,School Board Member,Jimmy Terry,Non Partisan,EASTERN PULASKI,1534
,School Board Member,Jimmy Vung Srun ,Non Partisan,GCS 2,487
,School Board Member,JOCELYN HIBSHMAN,Non Partisan,DUNELAND,11277
,School Board Member,Jody L Cook,Non Partisan,DEKALB CENTRAL,3119
,School Board Member,Joe Hufford,Non Partisan,ROSSVILLE,1233
,School Board Member,JOE K CAMPBELL,Non Partisan,CARR SCHOOL CORP,392
,School Board Member,Joe Mann,Non Partisan,Cloverdale,1546
,School Board Member,Joe Williams,Non Partisan,"NORTH GIBSON 1, NORTH GIBSON 2, NORTH GIBSON 3",2457
,School Board Member,Joel A. Miller,Non Partisan,"NA SCHOOL BOARD DIST 1, NA SCHOOL BOARD DIST 2",2767
,School Board Member,Joel H Lash,Non Partisan,EAST NOBLE,4565
,School Board Member,John  Carnahan,Non Partisan,South Knox Schools,2040
,School Board Member,John  Hunt,Non Partisan,SHERIDAN,2022
,School Board Member,John Bean,Non Partisan,NORTH VERMILLION,1503
,School Board Member,JOHN CASTRO,Non Partisan,Munster,6337
,School Board Member,JOHN CRAIG,Non Partisan,Munster,5005
,School Board Member,John F. Stewart,Non Partisan,HAMILTON SOUTHEASTERN,20137
,School Board Member,John Klaassen,Non Partisan,EAST NOBLE,2665
,School Board Member,John Lord,Non Partisan,SOUTH MADISON COMMUNITY SCHOOL CORP,10220
,School Board Member,John P Adams,Non Partisan,Delaware Community School District,4847
,School Board Member,John R Blue,Non Partisan,SOUTHWESTERN SCHOOLS,985
,School Board Member,John R Payne,Non Partisan,WA-NEE COMMUNITY SCHOOL,3528
,School Board Member,JOHN RILEY,Non Partisan,VERNON SCHOOL CORP,901
,School Board Member,John Shearer,Non Partisan,NORTH HARRISON,479
,School Board Member,JOHN T. KILAVOS,Non Partisan,E PORTER,2838
,School Board Member,Johnathon M Rodich,Non Partisan,NORTH DAVIESS,1615
,School Board Member,Johnathon Shull  ,Non Partisan,DEKALB EASTERN,2210
,School Board Member,Johnna S Bridges,Non Partisan,EASTERN HANCOCK,1618
,School Board Member,Jon (Kevin) Banks,Non Partisan,Rush,3166
,School Board Member,Jon D Acton,Non Partisan,BROWNSBURG COMM SCHOOLS,5426
,School Board Member,Jon Eads,Non Partisan,JAY SCHOOL CORP,5893
,School Board Member,JON H. BOBBITT,Non Partisan,Southwest Schools,3633
,School Board Member,Jon Shapiro,Non Partisan,CARMEL-CLAY,27769
,School Board Member,JONATHAN (TJ) TOTH,Non Partisan,Whiting,1058
,School Board Member,Jonathan C Eller,Non Partisan,Howard,953
,School Board Member,Jonathan Gutwein,Non Partisan,WEST CENTRAL,1342
,School Board Member,Jonathan M Deater,Non Partisan,SOUTHWESTERN SCHOOLS,1070
,School Board Member,Jonathan T Underwood,Non Partisan,Howard,987
,School Board Member,Jonathon D Simpson,Non Partisan,SOUTHWESTERN,1053
,School Board Member,Jonathon Menke,Non Partisan,SOUTHWEST SCHOOL DISTRICT,2958
,School Board Member,JORDAN D BILLUPS-TAYLOR,Non Partisan,Lake Station,475
,School Board Member,Jordan J Buckley,Non Partisan,Howard,2651
,School Board Member,Jorge Fernandez,Non Partisan,"FORT WAYNE COMMUNITY 1, FORT WAYNE COMMUNITY 2, FORT WAYNE COMMUNITY 3, FORT WAYNE COMMUNITY 4, FORT WAYNE COMMUNITY 5",4333
,School Board Member,Joseph (Joe) Kaelin,Non Partisan,SALEM,1044
,School Board Member,Joseph A Bunyard,Non Partisan,3,1297
,School Board Member,Joseph Saggars,Non Partisan,WEST NOBLE,2518
,School Board Member,Josh Davison,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1807
,School Board Member,Josh Estelle,Non Partisan,NEW CASTLE COMM SCHOOL,6197
,School Board Member,Joshua D Brashear,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,3261
,School Board Member,Joshua J Foxworthy,Non Partisan,SOUTHEAST FOUNTAIN S. C.,2493
,School Board Member,JOSHUA JAMES TAYLOR BARNETT,Non Partisan,Vanderburgh,22512
,School Board Member,Joshua M Yoder,Non Partisan,AVON COMM SCHOOLS,10401
,School Board Member,Joshua R Deck,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,1865
,School Board Member,Josiah L Eller,Non Partisan,Lafayette School Corporation,2876
,School Board Member,Julia A Mink,Non Partisan,ROSSVILLE,651
,School Board Member,Julia Cummings,Non Partisan,"Tippecanoe School Corporation District 1, Tippecanoe School Corporation District 2, Tippecanoe School Corporation District 3, Tippecanoe School Corporation District 4, Tippecanoe School Corporation District 5, Tippecanoe School Corporation District 6",22612
,School Board Member,Julie A French,Non Partisan,Warren Township Schools,9685
,School Board Member,Julie Blaase,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,1738
,School Board Member,Julie C. Peretin,Non Partisan,Lafayette School Corporation,5459
,School Board Member,JULIE D FRIEND,Non Partisan,HAMILTON SCHOOL DISTRICT,1646
,School Board Member,Julie J Hess,Non Partisan,S. MONTGOMERY SCHOOL CORP,3787
,School Board Member,Justin  Sturgeon,Non Partisan,SOUTH RIPLEY,2305
,School Board Member,Justin R Sokeland,Non Partisan,North Lawrence Community Schools,8459
,School Board Member,Justin S Helman,Non Partisan,SHENANDOAH SCHOOL,2749
,School Board Member,KARA SUE HARRIS,Non Partisan,Northeast Schools,2475
,School Board Member,Kara Wulff,Non Partisan,Liberty Perry Community School District,406
,School Board Member,Karen B Sosbe,Non Partisan,Howard,5156
,School Board Member,Karen Birkla Sheller,Non Partisan,Crawford County,1860
,School Board Member,Karen Jedrysek,Non Partisan,MSD OF NEW DURHAM TOWNSHIP,1435
,School Board Member,KAREN L. RAGLAND,Non Partisan,Vanderburgh,44309
,School Board Member,Karen S Burke,Non Partisan,Wayne Township Schools,11719
,School Board Member,Karen Sutton,Non Partisan,"PRECINCT 01, PRECINCT 02, PRECINCT 03, PRECINCT 04, PRECINCT 05, PRECINCT 06, PRECINCT 07, PRECINCT 08, PRECINCT 09, PRECINCT 10, PRECINCT 11, PRECINCT 12, PRECINCT 13, PRECINCT 14, PRECINCT 15, PRECINCT 16, PRECINCT 17, PRECINCT 18, PRECINCT 19, PRE",3353
,School Board Member,Karin K Odle,Non Partisan,N. MONTGOMERY SCHOOL CORP,3558
,School Board Member,Karla A Smith,Non Partisan,Vincennes School Corp,3527
,School Board Member,Karman Eash,Non Partisan,Union-North United School Corp,1266
,School Board Member,Kasey White,Non Partisan,Scott County Schools 1,985
,School Board Member,Kate Hummel,Non Partisan,MIDDLEBURY COMMUNITY SCHOOL,7040
,School Board Member,Katherine (Katie) Aeschliman,Non Partisan,"ZCS Eagle, ZCS Union",13718
,School Board Member,Katherine (Katie) M Sampson,Non Partisan,KANKAKEE VALLEY,6726
,School Board Member,Katherine R Garringer,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,6180
,School Board Member,Kathryn Marie (Katie) JasionowskI,Non Partisan,"LCS Center, LCS Lebanon, LCS Perry, LCS Worth",3014
,School Board Member,KATHY SHOCK-SWINGLE,Non Partisan,Huntington,837
,School Board Member,Kati Holman,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,1570
,School Board Member,Katie (Hutch) Hutchinson,Non Partisan,Greater Clark County Schools,14710
,School Board Member,Katie Collier,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2225
,School Board Member,KATIE INABNIT BELL ,Non Partisan,PENN-HARRIS-MADISON,14128
,School Board Member,Katie Miller,Non Partisan,ROCHESTER SCHOOL CORPORATION,2577
,School Board Member,Katie Pfister,Non Partisan,DEKALB CENTRAL,7248
,School Board Member,Katie Simpson,Non Partisan,SHENANDOAH SCHOOL,1033
,School Board Member,Katrina Lewis,Non Partisan,Cloverdale,1690
,School Board Member,Katy Grismore,Non Partisan,Monroe-Gregg School,1351
,School Board Member,Keith Goodman,Non Partisan,GCS 4,1172
,School Board Member,Keith Schwandt,Non Partisan,Knox,1155
,School Board Member,Keith W Freeman,Non Partisan,Greater Clark County Schools,21527
,School Board Member,Kelli J Gentrup-Pettit,Non Partisan,SOUTH DEARBORN COMM.,6109
,School Board Member,Kelli L Hill,Non Partisan,SOUTH VERMILLION,3343
,School Board Member,KELLY WILLIAMS,Non Partisan,East Chicago,2446
,School Board Member,KEN BROWNING,Non Partisan,SEYMOUR SCHOOL CORP,4444
,School Board Member,Kenneth (Brett) Havlin,Non Partisan,Lebanon Community School,7848
,School Board Member,Kenneth Allen,Non Partisan,IPS,17450
,School Board Member,Kenneth E Hodson,Non Partisan,Madison,7681
,School Board Member,Kenneth Snyder,Non Partisan,CANNELTON,0
,School Board Member,Kenneth W Buckley,Non Partisan,Lake Ridge,1237
,School Board Member,Kent Somers,Non Partisan,"NORTHWEST ALLEN 1, NORTHWEST ALLEN 2, NORTHWEST ALLEN 3",9158
,School Board Member,Kevin Blundell,Non Partisan,Monroe-Gregg School,2884
,School Board Member,Kevin Boyer,Non Partisan,TRITON SCHOOL CORPORATION,1876
,School Board Member,Kevin Cavanaugh,Non Partisan,"JACKSON, WHITE RIVER",4197
,School Board Member,KEVIN D WHEATLEY,Non Partisan,SEYMOUR SCHOOL CORP,3835
,School Board Member,Kevin G. Nemyer,Non Partisan,LIBERTY,1564
,School Board Member,Kevin J Klein,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1156
,School Board Member,KEVIN M MUSIC,Non Partisan,Lake Station,1384
,School Board Member,Kevin Paul,Non Partisan,Greater Clark County Schools,8220
,School Board Member,Kevin R. Bowman,Non Partisan,MSD,3646
,School Board Member,Kevin W. Etienne,Non Partisan,Perry Central,2310
,School Board Member,Kim Simonson,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,609
,School Board Member,Kim Woodward,Non Partisan,AVON COMM SCHOOLS,11788
,School Board Member,Kimberly Ann Brown Cooper,Non Partisan,North Central Parke Community School Corporation,2863
,School Board Member,Kip A Corn,Non Partisan,SALEM,1080
,School Board Member,Kirk Bennett,Non Partisan,Knox,2364
,School Board Member,Kolby Kerzan,Non Partisan,Vincennes School Corp,3113
,School Board Member,Kris BeX,Non Partisan,WESTERN WAYNE SCHOOLS,1580
,School Board Member,Kris Flower,Non Partisan,Plymouth Community School Corp,723
,School Board Member,Kristina (Kris) Wheeler,Non Partisan,CARMEL-CLAY,26118
,School Board Member,KRISTINE (KRISTI) GREER,Non Partisan,Whiting,515
,School Board Member,Kristine M Ott,Non Partisan,FRANKLIN COMM SCHOOL CORP,4159
,School Board Member,Kristoffer Edward Gray,Non Partisan,SHENANDOAH SCHOOL,2831
,School Board Member,Kurt A Christiansen,Non Partisan,Plymouth Community School Corp,2235
,School Board Member,KYLA HENDERSON,Non Partisan,SOUTH BEND,10659
,School Board Member,Kyle B Endris,Non Partisan,Mitchell Community Schools,1890
,School Board Member,Kyle Cornelius,Non Partisan,WASHINGTON,4056
,School Board Member,Kyle Litwiller,Non Partisan,SOUTH ADAMS,1890
,School Board Member,KYLE R MITSCH,Non Partisan,TriCreek,430
,School Board Member,Kyle Richard Rensberger,Non Partisan,ROCHESTER SCHOOL CORPORATION,2182
,School Board Member,Kyle Robert Speakman,Non Partisan,"MI District 1, MI District 2, MI District 3",2535
,School Board Member,Kyle Rule,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1872
,School Board Member,L. Brooke Hawkins,Non Partisan,LOOGOOTEE,1841
,School Board Member,Lance Brown,Non Partisan,BLUE RIVER VALLEY SCHOOL,1014
,School Board Member,Lani Stearns,Non Partisan,"MI District 1, MI District 2, MI District 3",1301
,School Board Member,Larry A Haycraft,Non Partisan,Pike County School Corp,1900
,School Board Member,Larry A. Kahle,Non Partisan,NORTH POSEY,2059
,School Board Member,Larry Hauswald,Non Partisan,SOUTH HARRISON,7063
,School Board Member,Larry Taylor,Non Partisan,Decatur Township Schools,5545
,School Board Member,Lashauna R. Triplett,Non Partisan,Warren Township Schools,9900
,School Board Member,Latrica A Schooley,Non Partisan,HAMILTON SOUTHEASTERN,25525
,School Board Member,Laura Blake,Non Partisan,SOUTH SPENCER COUNTY SCHOOL CORPORATION,1765
,School Board Member,Laura Haeberle,Non Partisan,SOUTHERN HANCOCK,7017
,School Board Member,Laura Pierce,Non Partisan,ATTICA SCHOOL CORPORATION,1437
,School Board Member,Laurene E Lonnemann,Non Partisan,GREENFIELD CENTRAL,4574
,School Board Member,Laurryn P McDaniel,Non Partisan,Silver Creek School,5057
,School Board Member,Lawrence  J (Larry) DeMoss,Non Partisan,Richland-Bean Blossom Comm School Corp,4833
,School Board Member,LEAH FAGG GRISE,Non Partisan,Southwest Schools,607
,School Board Member,Lee Nagai,Non Partisan,"DAVIS, OREGON 01, OREGON 02, OREGON 03",1047
,School Board Member,LEIGH DETRICH HARRIS,Non Partisan,Southwest Schools,3032
,School Board Member,Leigh W. Britt,Non Partisan,Bartholomew Consolidated,13306
,School Board Member,Leighanna N Torres,Non Partisan,3,560
,School Board Member,Leon Steury,Non Partisan,DEKALB EASTERN,2197
,School Board Member,LEROY STEURY ,Non Partisan,MSD SCHOOL DISTRICT,3599
,School Board Member,Leslie A Jacobs,Non Partisan,2,408
,School Board Member,Lewis J Hall,Non Partisan,Howard,11778
,School Board Member,Lincoln Edwards,Non Partisan,EAST GIBSON 2,537
,School Board Member,Linda A. Puccini,Non Partisan,RANDOLPH EAST,1361
,School Board Member,Linda G. Wood,Non Partisan,RANDOLPH EAST,704
,School Board Member,Linda S Hartman,Non Partisan,GCS 4,774
,School Board Member,Lindsay Brown,Non Partisan,Madison,11030
,School Board Member,Lisa A Cooper,Non Partisan,SOUTH PUTNAM COM SCH,2820
,School Board Member,Lisa Ann Kesling,Non Partisan,Pioneer SC,1364
,School Board Member,Lisa Doehrman,Non Partisan,WHITLEY COUNTY,5252
,School Board Member,Lisa H Lederach,Non Partisan,GCS 4,1057
,School Board Member,Lisa Huff,Non Partisan,Plymouth Community School Corp,3509
,School Board Member,Lisa M Thompson,Non Partisan,SOUTH HENRY SCHOOL,1500
,School Board Member,LISSETTE MONTANEZ,Non Partisan,Hammond,4627
,School Board Member,Liz Chaffee,Non Partisan,NORTHWEST ALLEN,11589
,School Board Member,Lora Sanders,Non Partisan,PAOLI SCHOOL CORPORATION,1854
,School Board Member,Lori K Wean  ,Non Partisan,GREENFIELD CENTRAL,6419
,School Board Member,Lori L Shaw,Non Partisan,SHELBY EASTERN SCHOOLS,2658
,School Board Member,Lori Mclaughlin,Non Partisan,UNION TWS SC,4254
,School Board Member,LORNA TROUTMAN,Non Partisan,SHOALS,1150
,School Board Member,LOUISE TALLENT,Non Partisan,Lake Central,17428
,School Board Member,LUCINDA (CINDY) MURPHY,Non Partisan,Hammond,3405
,School Board Member,Lyn Powers,Non Partisan,LANESVILLE SCHOOL CORP,1151
,School Board Member,Lynda G Glover,Non Partisan,Warrick,10710
,School Board Member,LYNN KING ,Non Partisan,SOUTH BEND,11001
,School Board Member,Lynn Wilson,Non Partisan,Clarksville Community School Corp,2030
,School Board Member,M E (Beth) Carr,Non Partisan,SOUTH HENRY SCHOOL,1033
,School Board Member,M. Todd Duke,Non Partisan,CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,2227
,School Board Member,Mallika Klingaman,Non Partisan,Warsaw 3,1499
,School Board Member,Mallory R Helton,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1853
,School Board Member,MARCUS E ELLISON,Non Partisan,SOUTH BEND,13448
,School Board Member,Margaret E Hass,Non Partisan,Lafayette School Corporation,5582
,School Board Member,Margaret Wielenberg,Non Partisan,PLAINFIELD COMM SCHOOLS,5548
,School Board Member,Maria D Koliantz,Non Partisan,West Lafayette School Corporation,2754
,School Board Member,Maria L. Ria Carpenter,Non Partisan,LAPORTE COMMUNITY SCHOOL CORPORATION,6759
,School Board Member,MARIA MERCEDEZ MENA-TAYLOR,Non Partisan,East Chicago,2755
,School Board Member,Maribeth Poalson,Non Partisan,MSD Martinsville,4569
,School Board Member,Marina K Nelson,Non Partisan,AVON COMM SCHOOLS,9881
,School Board Member,MARK E RIDENOUR,Non Partisan,MSD SCHOOL DISTRICT,5351
,School Board Member,Mark Gilpin,Non Partisan,SOUTHWEST ALLEN,16339
,School Board Member,Mark Iunghuhn,Non Partisan,"NORTH GIBSON 1, NORTH GIBSON 2, NORTH GIBSON 3",2189
,School Board Member,MARK LEE,Non Partisan,Vigo,13811
,School Board Member,Mark Maes,Non Partisan,Culver Community School Corp,1875
,School Board Member,Mark Thrush,Non Partisan,"GARRETT,  KEYSER,  BUTLER",2820
,School Board Member,Martha Green,Non Partisan,Madison,14486
,School Board Member,Marty M. Corley,Non Partisan,MICHIGAN CITY AREA SCHOOLS,8632
,School Board Member,Marvin T Pace Sr,Non Partisan,ECS D,1153
,School Board Member,Mary Kate Dohl,Non Partisan,NORTHWEST ALLEN,8483
,School Board Member,Mary Stockwell,Non Partisan,Eminence Community School Corp,966
,School Board Member,Matt Eckert,Non Partisan,SOUTHEAST SCHOOL DISTRICT,3061
,School Board Member,Matt Freije,Non Partisan,BROWNSBURG COMM SCHOOLS,15599
,School Board Member,Matt Hankins,Non Partisan,MSD Martinsville,7373
,School Board Member,Matt Luebbehusen,Non Partisan,SOUTHEAST SCHOOL DISTRICT,2164
,School Board Member,Matt Mayfield,Non Partisan,Floyd,8234
,School Board Member,Matt Meagher,Non Partisan,Logansport SC,1507
,School Board Member,Matt S Deuel,Non Partisan,Warsaw 6,1822
,School Board Member,Matthew  Jones,Non Partisan,Rush,4747
,School Board Member,MATTHEW (MATT) MELCHER,Non Partisan,Huntington,1465
,School Board Member,Matthew A Norman,Non Partisan,Mitchell Community Schools,437
,School Board Member,MATTHEW A RICHARDSON,Non Partisan,Hammond,4179
,School Board Member,Matthew Bruner,Non Partisan,SCH H,1173
,School Board Member,Matthew Hesler,Non Partisan,COVINGTON COM. SCH. CORP.,1455
,School Board Member,Matthew Hopp,Non Partisan,Pike Township Schools,11417
,School Board Member,Matthew Hullinger,Non Partisan,WESTFIELD-WASHINGTON,9021
,School Board Member,Matthew Lakoff Snyder,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1757
,School Board Member,MATTHEW S RAMIAN II,Non Partisan,PORTAGE TWS SC,8892
,School Board Member,Matthew T Fuller,Non Partisan,PERU,2151
,School Board Member,Matthew Worrell,Non Partisan,"MI District 1, MI District 2, MI District 3",935
,School Board Member,Maureen Burkardt,Non Partisan,FRANKLIN COMM SCHOOL CORP,4015
,School Board Member,McKenzie M Young,Non Partisan,Vincennes School Corp,2697
,School Board Member,Meg Guthrie-Pennington,Non Partisan,PERU,2661
,School Board Member,Megan Chandler,Non Partisan,SOUTH HENRY SCHOOL,864
,School Board Member,Meghan A Britt,Non Partisan,MT. VERNON,6055
,School Board Member,Melissa Duncan,Non Partisan,FRANKTON - LAPEL COMMUNITY SCHOOL,2152
,School Board Member,Melissa J Toth,Non Partisan,CHARLES A BEARD SCHOOL,2653
,School Board Member,Melissa Jean Woods,Non Partisan,Scott County Schools 2,2976
,School Board Member,Melissa Krieg,Non Partisan,SOUTH MADISON COMMUNITY SCHOOL CORP,5265
,School Board Member,Melissa Moster Evans,Non Partisan,1,463
,School Board Member,MELLISSA GUERRA,Non Partisan,Hammond,7968
,School Board Member,MELLISSA KAY JOHNSON,Non Partisan,MISHAWAKA,6126
,School Board Member,MELODY A. BISHOP,Non Partisan,Southwest Schools,594
,School Board Member,Micah R Cokl,Non Partisan,WHITKO COMMUNITY SCHOOL CORPORATION,3223
,School Board Member,Michael (Mike) McCord,Non Partisan,Logansport SC,3849
,School Board Member,MICHAEL (MIKE) RICHARD,Non Partisan,Huntington,616
,School Board Member,Michael (Mike) Wells,Non Partisan,BROWNSBURG COMM SCHOOLS,8137
,School Board Member,Michael B Langford,Non Partisan,AVON COMM SCHOOLS,11030
,School Board Member,Michael Beyerle,Non Partisan,NORTH HARRISON,1432
,School Board Member,Michael C Ahrens,Non Partisan,COVINGTON COM. SCH. CORP.,1137
,School Board Member,Michael Coussens,Non Partisan,"ZCS Eagle, ZCS Union",13259
,School Board Member,Michael E (Mike) Varner,Non Partisan,MIDDLEBURY COMMUNITY SCHOOL,3963
,School Board Member,Michael Edwards,Non Partisan,South Knox Schools,847
,School Board Member,Michael Fowler,Non Partisan,"Wawasee 1, Wawasee 2, Wawasee 3",6028
,School Board Member,Michael Gettelfinger,Non Partisan,SALEM COMM SCHOOLS,1251
,School Board Member,Michael J True,Non Partisan,TWIN LAKES,1515
,School Board Member,Michael S Bautista,Non Partisan,Scott County Schools 1,971
,School Board Member,Michael S Mark,Non Partisan,NORTH NEWTON,1895
,School Board Member,Michael Sullivan,Non Partisan,SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,615
,School Board Member,MICHAEL TURNER,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,4247
,School Board Member,Michael W James,Non Partisan,SOUTH SPENCER COUNTY SCHOOL CORPORATION,1589
,School Board Member,MICHAEL W. TOME,Non Partisan,Huntington,806
,School Board Member,Micheal (Doc) Shaw,Non Partisan,Clay Community,2088
,School Board Member,Micheal L Lord,Non Partisan,Knox,1089
,School Board Member,MIKE (MILE) KOVACEVIC,Non Partisan,Lake Central,9921
,School Board Member,Mike Banning,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,2050
,School Board Member,Mike Hanna,Non Partisan,"ADAMS 1, ADAMS 2, ADAMS 3, ADAMS 4, FALL CREEK 01, FALL CREEK 02, FALL CREEK 03, FALL CREEK 04, FALL CREEK 05, FALL CREEK 06, FALL CREEK 07, FALL CREEK 08, FALL CREEK 09, FALL CREEK 10, GREEN 1, GREEN 2, GREEN 3, GREEN 4",10213
,School Board Member,MIKE POWESKA,Non Partisan,Lake Station,1188
,School Board Member,Mike Yacullo,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,2161
,School Board Member,Mikki K Jeffers,Non Partisan,Western,2328
,School Board Member,Miranda R Hostetter,Non Partisan,White River Valley School Corp.,198
,School Board Member,Miriah Tobias,Non Partisan,MCS,1644
,School Board Member,Misha C McDowell,Non Partisan,PERU,998
,School Board Member,Missy Branscum,Non Partisan,MILL CREEK,3063
,School Board Member,Misty Hayworth Jones,Non Partisan,SOUTH HENRY SCHOOL,1509
,School Board Member,Mollie Fuchs  ,Non Partisan,Bremen Public Schools,1276
,School Board Member,Monica L. Beaty,Non Partisan,LAPORTE COMMUNITY SCHOOL CORPORATION,7541
,School Board Member,Monica N Vanhoy,Non Partisan,CHARLES A BEARD SCHOOL,2220
,School Board Member,Monica Potthoff,Non Partisan,EASTERN PULASKI,1184
,School Board Member,Morris Riddle,Non Partisan,Plymouth Community School Corp,2600
,School Board Member,Myra Wright Powell,Non Partisan,Borden-Henryville School,1958
,School Board Member,Mysia Brown,Non Partisan,BLUE RIVER VALLEY SCHOOL,1068
,School Board Member,Nan Polk,Non Partisan,NEW CASTLE COMM SCHOOL,6709
,School Board Member,Nancy Redelman,Non Partisan,JAC-CEN-DEL,419
,School Board Member,NATALIE BOWERSOCK,Non Partisan,E PORTER,3886
,School Board Member,Natalie J Wargo,Non Partisan,PORTER TWS SC,3885
,School Board Member,Natalie O Crowe,Non Partisan,Eastern Greene School District,1891
,School Board Member,Nate Schuler,Non Partisan,SOUTHEAST SCHOOL DISTRICT,3028
,School Board Member,Nate Shafer,Non Partisan,DANVILLE COMM SCHOOLS,2303
,School Board Member,Nate Vance,Non Partisan,DEKALB CENTRAL,2834
,School Board Member,Nathan A Alderson,Non Partisan,NORTH DAVIESS,1825
,School Board Member,Nathan Coe,Non Partisan,MONROE CENTRAL,1614
,School Board Member,Nathan D Scott,Non Partisan,NORTH PUTNAM COM SCH,3033
,School Board Member,Neil Hudelson  ,Non Partisan,BROWNSBURG COMM SCHOOLS,1608
,School Board Member,Nicholas Evans,Non Partisan,SOUTH HARRISON,6414
,School Board Member,Nicholas M Anderson,Non Partisan,Decatur County,2477
,School Board Member,Nicholas P Allen,Non Partisan,MILL CREEK,2761
,School Board Member,Nicholas R Sauter,Non Partisan,"District 1, District 2, District 3, District 4, District 5, District 6",1741
,School Board Member,Nichole E Kelley,Non Partisan,Pike Township Schools,14734
,School Board Member,NICHOLE LEBETER,Non Partisan,Hanover,2404
,School Board Member,Nicole M. Kemp,Non Partisan,CENTER GROVE SCHOOL CORP,7761
,School Board Member,Nicole Stults,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,7516
,School Board Member,Nicole Wheeldon,Non Partisan,Bartholomew Consolidated,13996
,School Board Member,Nikki Gorrell,Non Partisan,Blackford,3304
,School Board Member,Noah Smith,Non Partisan,"FORT WAYNE COMMUNITY 1, FORT WAYNE COMMUNITY 2, FORT WAYNE COMMUNITY 3, FORT WAYNE COMMUNITY 4, FORT WAYNE COMMUNITY 5",12291
,School Board Member,Noreen Legan,Non Partisan,DUNELAND,5776
,School Board Member,Paige Rohrer,Non Partisan,SOUTH GIBSON,2470
,School Board Member,Patricia Dalzell Jeffries,Non Partisan,RANDOLPH SOUTH,749
,School Board Member,Patricia H Rensberger,Non Partisan,Argos Community Schools,1170
,School Board Member,Patrick Barker,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,854
,School Board Member,PATRICK KRULL,Non Partisan,Highland,4099
,School Board Member,Patrick L Sullivan,Non Partisan,Jennings,6442
,School Board Member,PATRICK MORRIS,Non Partisan,Crown Point,5205
